OBJECTID,Shape,Join_Count,TARGET_FID,PIN,PIN2,PTRACT2,GPIN,Parcel_Tex,Parts,SUB_NAME,DEED_AC,ACTIVE,EXPIRY,Last,ACC_NO,class,TCSD,SHARE_TC,EDITDATE,EDITBY,EDITTYPE,TRANSACTIO,TRANSACT_1,TRATE_ID,YearFor,Fire_Dist,Calc_Acrea,Parcel_Not,TAZ_Model_,Possible_Z,Common_Nam,Common_N_1,GPS_Y_N,GPS_Year,Calc_Acr_1,Calc_Acr_2,Data_year,ORIG_FID,AccountNumber,TaxMap,GPIN,LUC_2022,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,UserAccoun,LandUseCod2018
502,Point,1,504,58   55   2  55,58-55-2-55-0,58-1-0-92-0,7726-14-4912,4912,1,Readers Branch Sec 2,0.25,10/17/2019,<Null>,7726-15-8099,20329,5,Yes,Yes,10/22/2019,JDW,0, ,0,117219813764448_TRATE, ,3,0.25049, , ,23103, , , , ,-0.00049,0,2022,13864,20329,58-55-2-55-0,7726-14-4912,SNGL FAM URB,0.25,AC,130000,0,130000,485300,0,615300,125000,0,125000,477100,0,602100,RPUD,RES/PUD,7726-15-3602,50 - AG 20-100 AC
503,Point,1,505,58   55   2  56,58-55-2-56-0,58-1-0-92-0,7726-14-4986,4986,1,Readers Branch Sec 2,0.23,10/17/2019,<Null>,7726-15-8099,20330,5,Yes,Yes,10/22/2019,JDW,0, ,0,117219813764448_TRATE, ,3,0.23225, , ,23103, , , , ,-0.00225,0,2022,13865,20330,58-55-2-56-0,7726-14-4986,SNGL FAM URB,0.23,AC,130000,0,130000,470300,0,600300,125000,0,125000,461600,0,586600,RPUD,RES/PUD,7726-15-3602,50 - AG 20-100 AC
504,Point,1,506,58   55   2  58,58-55-2-58-0,58-1-0-92-0,7726-15-6003,6003,1,Readers Branch Sec 2,0.24,10/17/2019,<Null>,7726-15-8099,20332,5,Yes,Yes,10/22/2019,JDW,0, ,0,117219813764448_TRATE, ,3,0.242049, , ,23103, , , , ,-0.002049,0,2022,13866,20332,58-55-2-58-0,7726-15-6003,SNGL FAM URB,0.24,AC,130000,0,130000,403800,0,533800,125000,0,125000,393800,0,518800,RPUD,RES/PUD,7726-15-3602,50 - AG 20-100 AC
505,Point,1,507,51   1    52B,51-1-0-52-B,51-1-0-52-0,6736-52-1480,1480,1, ,4.105,10/23/2019,<Null>,6736-52-1271,20365,2,No,No,10/29/2019,JDW,0, ,0,116351373762124_TRATE, ,5,4.257136, ,662,0, , , , ,-0.152136,0,2022,13868,20365,51-1-0-52-B,6736-52-1480,SNGL FAM SUB,4.105,AC,52300,0,52300,0,0,52300,51300,0,51300,0,0,51300,A1,AG/GEN,6736-52-1271,20 - SNGL FAM SUB
506,Point,1,508,51   1    52C,51-1-0-52-C,51-1-0-52-0,6736-51-0860,860,1, ,4.189,10/23/2019,<Null>,6736-52-1271,7870,2,No,No,10/29/2019,JDW,0, ,0,116351373762124_TRATE, ,5,4.192186, ,662,0, , , , ,-0.003186,0,2022,13869,7870,51-1-0-52-C,6736-51-0860,SNGL FAM SUB,4.189,AC,52800,0,52800,0,0,52800,51700,0,51700,0,0,51700,A1,AG/GEN,6736-52-1271,20 - SNGL FAM SUB
507,Point,1,509, 21   1     2A,21-16-0-1-0,21-1-0-2-A,6850-39-8964,8964,1, ,3.356,10/9/2019,<Null>, ,20362,2,No,No,5/14/2020,JDW,0, ,0,116537723810186_TRATE, ,6,3.352331, ,646,23065, , , , ,0.003669,0,2022,13872,20362,21-16-0-1-0,6850-39-8964,SNGL FAM SUB,3.356,AC,70300,0,70300,199200,0,269500,69000,0,69000,184300,0,253300,A1,AG/GEN,6851-30-7178,20 - SNGL FAM SUB
508,Point,1,510, 21   1     2A,21-16-0-2-0,21-1-0-2-A,6851-30-6137,6137,1, ,2.144,10/9/2019,<Null>, ,11786,2,No,No,5/14/2020,JDW,0, ,0,116537723810186_TRATE, ,6,2.144494, ,646,23065, , , , ,-0.000494,0,2022,13873,11786,21-16-0-2-0,6851-30-6137,SNGL FAM SUB,2.144,AC,59800,0,59800,243600,3100,306500,58700,0,58700,225300,2700,286700,A1,AG/GEN,6851-30-7178,20 - SNGL FAM SUB
509,Point,1,511, 21   1     2A,21-16-0-3-0,21-1-0-2-A,6851-30-8361,8361,1, ,3.18,10/9/2019,<Null>, ,20363,2,No,No,5/14/2020,JDW,0, ,0,116537723810186_TRATE, ,6,3.208155, ,646,23065, , , , ,-0.028155,0,2022,13874,20363,21-16-0-3-0,6851-30-8361,SNGL FAM SUB,3.18,AC,68800,0,68800,207600,0,276400,67500,0,67500,192900,0,260400,A1,AG/GEN,6851-30-7178,20 - SNGL FAM SUB
510,Point,1,512,4   15    1C,4-15-0-1-C,4-1-0-6-0,6803-77-3546,3546,1, ,23.02,10/17/2019,<Null>, ,12464,5,No,No,10/30/2019,JDW,0, ,0,116066533837544_TRATE, ,6,22.415198, ,644,23084, , , , ,0.604802,0,2022,13875,12464,4-15-0-1-C,6803-77-3546,AG 20-100 AC,23.02,AC,140800,82600,58200,187700,19300,347800,138100,81500,56600,162200,17300,317600,A1,AG/GEN,6803-67-6554,50 - AG 20-100 AC
511,Point,1,513,4   15    1A,4-15-0-1-A,4-1-0-6-C,6803-67-3553,3553,1, ,60,10/17/2019,<Null>, ,20364,5,No,No,10/30/2019,JDW,0, ,0,116066533837544_TRATE, ,6,59.106665, ,644,23038, , , , ,0.893335,0,2022,13876,20364,4-15-0-1-A,6803-67-3553,AG 20-100 AC,60,AC,275000,207200,67800,540300,0,815300,269700,205500,64200,467100,0,736800,A1,AG/GEN,6803-67-6554,50 - AG 20-100 AC
512,Point,1,514,  4   1     6B,4-1-0-6-B,4-1-0-6-0,6803-57-3329,3329,1, ,0,12/31/2005,<Null>,6803-57-4316,12527,7,No,No,10/30/2019,JDW,0, ,0,116054163837369_TRATE, ,6,0.036123,CEMETERY,644,0, , , , ,-0.036123,0,2022,13877,12527,4-1-0-6-B,6803-57-3329,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,6803-56-9623,50 - AG 20-100 AC
513,Point,1,515,7   3     4,7-3-0-4-0,7-3-0-3-0,6843-20-7109, ,1, ,0.41,3/24/2011,<Null>, ,3220,2,No,No,11/6/2019,JDW,0, ,0,116426063830104_TRATE, ,6,0.413295, ,645,0, , , , ,-0.003295,0,2022,13930,3220,7-3-0-4-0,6843-20-7109,Roads,0.41,AC,0,0,0,0,0,0,0,0,0,0,0,0,A1,AG/GEN,6843-20-7109,80 - NOT TAXABLE
514,Point,1,516,  7   1    14,7-1-0-14-0,7-1-0-14-0,6842-57-9781, ,1, ,68.6,12/31/2005,<Null>, ,4184,5,No,No,<Null>, ,0, ,0,116459863827713_TRATE, ,6,69.220313,Centroid in Louisa Census Boundary, ,23117, , , , ,-0.620313,0,2022,13931,4184,7-1-0-14-0,6842-57-9781,AG 20-100 AC,68.6,AC,306500,215700,90800,226200,5700,538400,206100,137200,68900,150100,4700,360900,A1,AG/GEN,6842-57-9781,50 - AG 20-100 AC
515,Point,1,517, 13   1     A,13-1-0-A-0,13-1-0-A-0,6842-67-3420, ,1, ,0,12/31/2005,<Null>, ,15596,7,No,No,<Null>, ,0, ,0,116463273827409_TRATE, ,6,0.003767,CEMETERY, ,0, , , , ,-0.003767,0,2022,13932,15596,13-1-0-A-0,6842-67-3420,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,6842-57-9781,50 - AG 20-100 AC
516,Point,1,518,13   1     3E1,13-1-0-3-E1,13-1-0-3-E,6842-64-8973, ,1, ,0,12/31/2005,<Null>, ,20442,2,No,No,12/11/2019,JDW,0, ,0,116470773824936_TRATE, ,6,0.137986,CEMETERY, ,0, , , , ,-0.137986,0,2022,13949,20442,13-1-0-3-E1,6842-64-8973,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,6842-74-0973,20 - SNGL FAM SUB
517,Point,1,519,13   1     3A1,13-1-0-3-A1,13-1-0-3-A,6842-76-3339, ,1, ,0,12/31/2005,<Null>, ,20443,5,No,No,12/18/2019,JDW,0, ,0,116475263826372_TRATE, ,6,0.07113,CEMETERY, ,0, , , , ,-0.07113,0,2022,13952,20443,13-1-0-3-A1,6842-76-3339,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,6842-76-5327,50 - AG 20-100 AC
518,Point,1,520, 13   1     3A,13-1-0-3-A,13-1-0-3-A,6842-76-5327, ,1, ,20.304,12/31/2005,<Null>, ,1957,5,No,No,<Null>, ,0, ,0,116475263826372_TRATE, ,6,20.287455,Centroid in Louisa Census Boundary, ,23065, , , , ,0.016545,0,2022,13953,1957,13-1-0-3-A,6842-76-5327,AG 20-100 AC,20.304,AC,128900,0,128900,204000,35600,368500,125900,0,125900,181300,30000,337200,A1,AG/GEN,6842-76-5327,50 - AG 20-100 AC
519,Point,1,521, 13   1     3E,13-1-0-3-E,13-1-0-3-E,6842-74-0973, ,1, ,6.85,12/31/2005,<Null>, ,8777,2,No,No,12/11/2019,JDW,0, ,0,116470773824936_TRATE, ,6,6.499114,Centroid in Louisa Census Boundary, ,23065, , , , ,0.350886,0,2022,13959,8777,13-1-0-3-E,6842-74-0973,SNGL FAM SUB,6.85,AC,68300,0,68300,11100,700,80100,68300,0,68300,11600,700,80600,A1,AG/GEN,6842-74-0973,20 - SNGL FAM SUB
520,Point,1,522, 31   8     7,31-8-0-7-0,31-8-0-7-0,6779-51-2889, ,1, ,6.99,3/20/1978,<Null>, ,5945,2,No,No,11/12/2019,JDW,0, ,0,116752873791900_TRATE, ,5,6.974165, ,648,0, , , , ,0.015835,0,2022,13980,5945,31-8-0-7-0,6779-51-2889,SNGL FAM SUB,6.99,AC,112100,108900,3200,0,0,112100,100000,97000,3000,0,0,100000,A2,AG/LTD,6779-51-2889,20 - SNGL FAM SUB
521,Point,1,523, 31   8     1,31-8-0-1-0,31-8-0-1-0,6779-41-8002, ,1, ,3.49,3/20/1978,<Null>, ,9345,2,No,No,11/12/2019,JDW,0, ,0,116747993790999_TRATE, ,5,3.503914, ,648,23102, , , , ,-0.013914,0,2022,13985,9345,31-8-0-1-0,6779-41-8002,SNGL FAM SUB,3.49,AC,100000,0,100000,21400,0,121400,89300,0,89300,17600,0,106900,A2,AG/LTD,6779-41-8002,20 - SNGL FAM SUB
522,Point,1,524, 31   1    78B,31-1-0-78-B,31-1-0-78-B,6779-40-7734, ,1, ,0,12/31/2005,<Null>, ,10312,7,No,No,<Null>, ,0, ,0,116747263790757_TRATE, ,5,0.201912,CEMETERY,648,0, , , , ,-0.201912,0,2022,13986,10312,31-1-0-78-B,6779-40-7734,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A2,AG/LTD,6779-41-8002,20 - SNGL FAM SUB
523,Point,1,525,31   8     7A,31-8-0-7-A,31-8-0-7-0,6779-51-3496,3496,1, ,0,3/20/1978,<Null>, ,20366,2,No,No,11/12/2019,JDW,0, ,0,116752873791900_TRATE, ,5,0.013925,CEMETERY,648,0, , , , ,-0.013925,0,2022,13987,20366,31-8-0-7-A,6779-51-3496,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A2,AG/LTD,6779-51-2889,20 - SNGL FAM SUB
524,Point,1,526, 42   1    19T,42-1-0-19-0T,42-1-0-19-0,6757-90-0726-9999, ,2, ,266.5,12/31/2005,<Null>,6757-90-0726,10383,7,No,No,9/17/2020,JDW,0, ,0,116590183770777_TRATE, ,5,268.67102, , ,23063, , , , ,-2.17102,0,2022,13989,10383,42-1-0-19-0T,6757-90-0726,Prisons,266.5,AC,4661900,0,4661900,11958400,655900,17276200,4240200,0,4240200,11813700,717500,16771400,R3A2,RES GEN,6757-90-0726,72 - STATE GOV
525,Point,1,527,63   1   175C,63-41-0-1-C,63-1-0-175-0,7724-13-9309,9309,1,Creekmore Place,0,1/14/2019,<Null>, ,20369,2,Yes,Yes,11/19/2019,JDW,0, ,0,117221193743575_TRATE, ,1,0.045902, ,669,23238, , , , ,-0.045902,0,2022,13990,20369,63-41-0-1-C,7724-13-9309,SNGL FAM SUB,0,<Null>,112300,0,112300,323600,0,435900,110100,0,110100,323600,0,433700,R3,RES/GEN,7724-13-8451,30 - MultiFamily
526,Point,1,528,63   1   175A,63-41-0-1-A,63-1-0-175-0,7724-13-8454,8454,1,Creekmore Place,0,1/14/2019,<Null>, ,20367,2,Yes,Yes,11/19/2019,JDW,0, ,0,117221193743575_TRATE, ,1,0.045902, ,669,23238, , , , ,-0.045902,0,2022,13991,20367,63-41-0-1-A,7724-13-8454,SNGL FAM SUB,0,<Null>,112300,0,112300,323600,0,435900,110100,0,110100,323600,0,433700,R3,RES/GEN,7724-13-8451,30 - MultiFamily
527,Point,1,529,63   1   175B,63-41-0-1-B,63-1-0-175-0,7724-13-8472,8472,1,Creekmore Place,0,1/14/2019,<Null>, ,20368,2,Yes,Yes,11/19/2019,JDW,0, ,0,117221193743575_TRATE, ,1,0.038177, ,669,23238, , , , ,-0.038177,0,2022,13992,20368,63-41-0-1-B,7724-13-8472,SNGL FAM SUB,0,<Null>,84300,0,84300,326100,0,410400,82600,0,82600,326100,0,408700,R3,RES/GEN,7724-13-8451,30 - MultiFamily
528,Point,1,530, 20  20    16,20-20-0-16-0,20-8-B-5-0,6840-33-3853, ,1,Bolling Layne Place,6.66,9/17/1999,<Null>, ,15844,2,No,No,11/18/2019,JDW,0, ,0,116433573803834_TRATE, ,5,6.664136, ,646,23153, , , , ,-0.004136,0,2022,13999,15844,20-20-0-16-0,6840-33-3853,SNGL FAM SUB,6.66,AC,86100,0,86100,231200,1400,318700,82800,0,82800,208800,1400,293000,A1,AG/GEN,6840-33-3853,20 - SNGL FAM SUB
529,Point,1,531, 20  20    17A,20-20-0-17-A,20-1-0-16-0,6840-34-6000, ,1,Bolling Layne Place,0,9/17/1999,<Null>, ,15846,7,No,No,11/18/2019,JDW,0, ,0,116436073804000_TRATE, ,5,0.053269,CEMETERY,646,0, , , , ,-0.053269,0,2022,14000,15846,20-20-0-17-A,6840-34-6000,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,6840-33-3853,20 - SNGL FAM SUB
530,Point,1,532,  3   1     1A,3-1-0-1-A,3-1-0-1-A,6803-29-3146, ,1, ,19.25,12/31/2005,<Null>, ,2202,2,No,No,11/20/2019,JDW,0, ,0,116024243839296_TRATE, ,6,18.990936, ,644,23084, , , , ,0.259064,0,2022,14033,2202,3-1-0-1-A,6803-29-3146,SNGL FAM SUB,19.25,AC,104900,0,104900,231100,9000,345000,103000,0,103000,198400,9000,310400,A1,AG/GEN,6803-29-3146,20 - SNGL FAM SUB
531,Point,1,533,3   1     1A1,3-1-0-1-A1,3-1-0-1-A,6804-20-7010, ,1, ,0,12/31/2005,<Null>, ,20444,2,No,No,11/20/2019,JDW,0, ,0,116024243839296_TRATE, ,6,0.080196, ,644,0, , , , ,-0.080196,0,2022,14035,20444,3-1-0-1-A1,6804-20-7010,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,6803-29-3146,20 - SNGL FAM SUB
532,Point,1,534,7   4     D,7-4-0-D-0,7-3-0-4-0,6843-20-7243, ,1, ,0.29,2/5/1993,<Null>, ,24,2,No,No,11/20/2019,JDW,0, ,0,116427033830192_TRATE, ,6,0.284215, ,645,0, , , , ,0.005785,0,2022,14040,24,7-4-0-D-0,6843-20-7243,SNGL FAM SUB,0.29,AC,1800,0,1800,0,0,1800,1700,0,1700,0,0,1700,A1,AG/GEN,6843-20-7109,80 - NOT TAXABLE
533,Point,1,535, 32   1    61D,32-1-0-61-D,32-1-0-61-0,6789-04-8159, ,1, ,0.2,12/31/2005,<Null>, ,11509,2,No,No,11/21/2019,JDW,0, ,0,116808513794198_TRATE, ,5,0.1982, ,648,0, , , , ,0.0018,0,2022,14058,11509,32-1-0-61-D,6789-04-8159,SNGL FAM SUB,0.2,AC,2900,0,2900,0,0,2900,2600,0,2600,0,0,2600,A2,AG/LTD,6789-04-8159,20 - SNGL FAM SUB
534,Point,1,536,  4   1    46D,4-1-0-46-D,4-1-0-46-0,6813-06-9434,9434,1, ,21.293,11/19/2019,<Null>,6813-06-8349,12770,5,No,No,11/26/2019,JDW,0, ,0,116108463836398_TRATE, ,6,21.272792, ,644,0, , , , ,0.020208,0,2022,14089,12770,4-1-0-46-D,6813-06-9434,AG 20-100 AC,21.293,AC,143500,133400,10100,0,0,143500,140700,131600,9100,0,0,140700,A1,AG/GEN,6813-06-8349,50 - AG 20-100 AC
535,Point,1,537,4   1    46E,4-1-0-46-E,4-1-0-46-0,6813-06-3207,3207,1, ,3.301,11/19/2019,<Null>, ,20370,5,No,No,11/26/2019,JDW,0, ,0,116108463836398_TRATE, ,6,3.180522, ,644,0, , , , ,0.120478,0,2022,14090,20370,4-1-0-46-E,6813-06-3207,SNGL FAM SUB,3.301,AC,51400,0,51400,0,0,51400,50500,0,50500,0,0,50500,A1,AG/GEN,6813-06-8349,50 - AG 20-100 AC
536,Point,1,538,4   1    46F,4-1-0-46-F,4-1-0-46-0,6813-06-4085,4085,1, ,3.301,11/19/2019,<Null>, ,20371,5,No,No,11/26/2019,JDW,0, ,0,116108463836398_TRATE, ,6,3.231902, ,644,0, , , , ,0.069098,0,2022,14091,20371,4-1-0-46-F,6813-06-4085,SNGL FAM SUB,3.301,AC,51400,0,51400,0,0,51400,50500,0,50500,0,0,50500,A1,AG/GEN,6813-06-8349,50 - AG 20-100 AC
537,Point,1,539, 31   1    56,31-1-0-56-0,31-1-0-56-0,6769-87-9199, ,1, ,2.5,12/31/2005,<Null>, ,6955,2,No,No,11/27/2019,JDW,0, ,0,116689993797199_TRATE, ,5,2.492293,Louisa Boundary,648,23065, , , , ,0.007707,0,2022,14109,6955,31-1-0-56-0,6769-87-9199,SNGL FAM SUB,2.5,AC,79400,0,79400,71900,0,151300,73100,0,73100,61800,0,134900,A2,AG/LTD,6769-97-7586,50 - AG 20-100 AC
538,Point,1,540, 31   1    56B,31-1-0-56-B,31-1-0-56-0,6769-97-7586, ,1, ,20.15,12/31/2005,<Null>, ,11054,5,No,No,12/7/2020,JDW,0, ,0,116697883797566_TRATE, ,5,19.953567,Louisa Boundary,648,0, , , , ,0.196433,0,2022,14110,11054,31-1-0-56-B,6769-97-7586,AG 20-100 AC,20.15,AC,249600,239600,10000,0,4000,253600,235100,226400,8700,0,4000,239100,A2,AG/LTD,6769-97-7586,50 - AG 20-100 AC
539,Point,1,541, 29   5     1E,29-5-0-1-E,29-5-0-1-0,6749-64-6682,6682,1, ,6.234,12/2/2019,<Null>,6749-64-4856,13342,2,No,No,12/9/2019,JDW,0, ,0,116464553794865_TRATE, ,5,6.234153, ,647,23063, , , , ,-0.000153,0,2022,14232,13342,29-5-0-1-E,6749-64-6682,SNGL FAM SUB,6.234,AC,102000,0,102000,197400,800,300200,99100,0,99100,161700,800,261600,RR,RES/RUR,6749-64-4856,20 - SNGL FAM SUB
540,Point,1,542,29   5     1F,29-5-0-1-F,29-5-0-1-0,6749-64-2988,2988,1, ,6.852,12/2/2019,<Null>, ,20434,2,No,No,12/9/2019,JDW,0, ,0,116464553794865_TRATE, ,5,6.852298, ,647,0, , , , ,-0.000298,0,2022,14233,20434,29-5-0-1-F,6749-64-2988,SNGL FAM SUB,6.852,AC,107300,0,107300,0,0,107300,104900,0,104900,0,0,104900,RR,RES/RUR,6749-64-4856,20 - SNGL FAM SUB
541,Point,1,543, 46   1    54B,46-1-0-54-B,46-1-0-54-0,7716-07-3998,3998,1, ,10.442,11/26/2019,<Null>,7716-08-5076,16732,2,No,No,12/12/2019,JDW,0, ,0,117105753768063_TRATE, ,3,10.36789, ,655,0, , , , ,0.07411,0,2022,14274,16732,46-1-0-54-B,7716-07-3998,SNGL FAM SUB,10.442,AC,284100,0,284100,0,0,284100,253600,0,253600,0,0,253600,A2,AG/LTD,7716-08-3118,20 - SNGL FAM SUB
542,Point,1,544, 46   1    54,46-1-0-54-0,46-1-0-54-0,7716-08-2490,2490,1, ,8.136,11/26/2019,<Null>,7716-08-3118,315,2,No,No,12/12/2019,JDW,0, ,0,117103173768188_TRATE, ,3,8.064826, ,655,23103, , , , ,0.071174,0,2022,14275,315,46-1-0-54-0,7716-08-2490,SNGL FAM SUB,8.136,AC,238900,0,238900,101200,11500,351600,213300,0,213300,84200,10300,307800,A2,AG/LTD,7716-08-3118,20 - SNGL FAM SUB
543,Point,1,545,58-54-0-1-0,58-54-1-24-0,58-32-3-50-0,7725-16-2076,2076,1,Mosaic at West Creek Sec I,0.182,11/22/2019,12/30/1899, ,20395,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.182156, , ,23238, , , , ,-0.000156,0,2022,14277,20395,58-54-1-24-0,7725-16-2076,SNGL FAM URB,0.182,AC,145000,0,145000,357800,0,502800,135000,0,135000,343400,0,478400,RPUD,RES/PUD,7725-15-0818,40 - COMM & IND
544,Point,1,546,58-54-0-1-0,58-54-1-25-0,58-32-3-50-0,7725-16-2091,2091,1,Mosaic at West Creek Sec I,0.182,11/22/2019,12/30/1899, ,20396,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.182156, , ,23238, , , , ,-0.000156,0,2022,14278,20396,58-54-1-25-0,7725-16-2091,SNGL FAM URB,0.182,AC,145000,0,145000,359500,0,504500,135000,0,135000,345400,0,480400,RPUD,RES/PUD,7725-15-0818,40 - COMM & IND
545,Point,1,547,58-54-0-1-0,58-54-1-27-0,58-32-3-50-0,7725-15-3961,3961,1,Mosaic at West Creek Sec I,0.226,11/22/2019,12/30/1899, ,20398,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.226354, , ,23238, , , , ,-0.000354,0,2022,14279,20398,58-54-1-27-0,7725-15-3961,SNGL FAM URB,0.226,AC,145000,0,145000,454000,0,599000,135000,0,135000,0,0,135000,RPUD,RES/PUD,7725-15-0818,40 - COMM & IND
546,Point,1,548,58-54-0-1-0,58-54-1-26-0,58-32-3-50-0,7725-15-2990,2990,1,Mosaic at West Creek Sec I,0.279,11/22/2019,12/30/1899, ,20397,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.278519, , ,23238, , , , ,0.000481,0,2022,14280,20397,58-54-1-26-0,7725-15-2990,SNGL FAM URB,0.279,AC,145000,0,145000,0,0,145000,135000,0,135000,0,0,135000,RPUD,RES/PUD,7725-15-0818,40 - COMM & IND
547,Point,1,549,58-54-0-1-0,58-54-1-23-0,58-32-3-50-0,7725-16-2145,2145,1,Mosaic at West Creek Sec I,0.3,11/22/2019,12/30/1899, ,20394,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.299544, , ,23238, , , , ,0.000456,0,2022,14281,20394,58-54-1-23-0,7725-16-2145,SNGL FAM URB,0.3,AC,145000,0,145000,438200,0,583200,135000,0,135000,414500,0,549500,RPUD,RES/PUD,7725-15-0818,40 - COMM & IND
548,Point,1,550,58-54-0-1-0,58-54-1-32-0,58-32-3-50-0,7725-15-3688,3688,1,Mosaic at West Creek Sec I,0.248,11/22/2019,12/30/1899, ,20403,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.248065, , ,23238, , , , ,-0.000065,0,2022,14282,20403,58-54-1-32-0,7725-15-3688,SNGL FAM URB,0.248,AC,145000,0,145000,547800,0,692800,135000,0,135000,519700,0,654700,RPUD,RES/PUD,7725-15-4511,40 - COMM & IND
549,Point,1,551,58-54-0-1-0,58-54-1-34-0,58-32-3-50-0,7725-15-3517,3517,1,Mosaic at West Creek Sec I,0.269,11/22/2019,12/30/1899, ,20405,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.268719, , ,23238, , , , ,0.000281,0,2022,14283,20405,58-54-1-34-0,7725-15-3517,SNGL FAM URB,0.269,AC,145000,0,145000,343800,0,488800,135000,0,135000,331300,0,466300,RPUD,RES/PUD,7725-15-4511,40 - COMM & IND
550,Point,1,552,58-54-0-1-0,58-54-1-28-0,58-32-3-50-0,7725-15-4943,4943,1,Mosaic at West Creek Sec I,0.33,11/22/2019,12/30/1899, ,20399,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.329992, , ,23238, , , , ,0.000008,0,2022,14285,20399,58-54-1-28-0,7725-15-4943,SNGL FAM URB,0.33,AC,145000,0,145000,524900,0,669900,135000,0,135000,0,0,135000,RPUD,RES/PUD,7725-15-6921,40 - COMM & IND
551,Point,1,553,58-54-0-1-0,58-54-1-30-0,58-32-3-50-0,7725-15-5746,5746,1,Mosaic at West Creek Sec I,0.34,11/22/2019,12/30/1899, ,20401,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.340523, , ,23238, , , , ,-0.000523,0,2022,14286,20401,58-54-1-30-0,7725-15-5746,SNGL FAM URB,0.34,AC,145000,0,145000,439100,0,584100,135000,0,135000,413500,0,548500,RPUD,RES/PUD,7725-15-6921,40 - COMM & IND
552,Point,1,554,58-54-0-1-0,58-54-1-31-0,58-32-3-50-0,7725-15-4678,4678,1,Mosaic at West Creek Sec I,0.346,11/22/2019,12/30/1899, ,20402,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.346345, , ,23238, , , , ,-0.000345,0,2022,14287,20402,58-54-1-31-0,7725-15-4678,SNGL FAM URB,0.346,AC,145000,0,145000,531200,0,676200,135000,0,135000,495400,0,630400,RPUD,RES/PUD,7725-15-4511,40 - COMM & IND
553,Point,1,555,58-54-0-1-0,58-54-1-29-0,58-32-3-50-0,7725-15-5837,5837,1,Mosaic at West Creek Sec I,0.372,11/22/2019,12/30/1899, ,20400,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.37245, , ,23238, , , , ,-0.00045,0,2022,14288,20400,58-54-1-29-0,7725-15-5837,SNGL FAM URB,0.372,AC,145000,0,145000,434200,0,579200,135000,0,135000,410700,0,545700,RPUD,RES/PUD,7725-15-6921,40 - COMM & IND
554,Point,1,556,58-54-0-1-0,58-54-1-35-0,58-32-3-50-0,7725-15-2561,2561,1,Mosaic at West Creek Sec I,0.215,11/22/2019,12/30/1899, ,20406,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.215536, , ,23238, , , , ,-0.000536,0,2022,14289,20406,58-54-1-35-0,7725-15-2561,SNGL FAM URB,0.215,AC,145000,0,145000,441400,0,586400,135000,0,135000,419900,0,554900,RPUD,RES/PUD,7725-15-4511,40 - COMM & IND
555,Point,1,557,58-54-0-1-0,58-54-1-36-0,58-32-3-50-0,7725-15-2426,2426,1,Mosaic at West Creek Sec I,0.226,11/22/2019,12/30/1899, ,20407,0,Yes,Yes,12/4/2019,JDW,0, ,0, , ,3,0.225981, , ,23238, , , , ,0.000019,0,2022,14290,20407,58-54-1-36-0,7725-15-2426,SNGL FAM URB,0.226,AC,145000,0,145000,383500,0,528500,135000,0,135000,0,0,135000,RPUD,RES/PUD,7725-15-4511,40 - COMM & IND
